Files,TTR,Word Length,Word Count,Top 10 Words,Top 10 Bigrams,Top 10 Trigrams
Taylor Swift (2006),0.20828144458281445,3.9486301369863015,3212,"[('oh,', 31), (""you're"", 30), (""i'm"", 29), ('think', 24), ('back', 24), ('just', 21), (""don't"", 18), ('know', 18), (""should've"", 18), ('said,', 17)]","[(18, ('you', 'think')), (17, ('and', 'i')), (15, ('you', ""should've"")), (14, ('when', 'you')), (14, ('oh', 'oh')), (14, ('back', 'to')), (13, ('in', 'the')), (13, ('i', 'hope')), (12, ('on', 'the')), (11, ('on', 'my'))]","[(10, ('oh', 'oh', 'oh')), (9, ('when', 'you', 'think')), (9, ('i', 'hope', 'you')), (9, ('hope', 'you', 'think')), (7, (""i'm"", 'just', 'a')), (6, ('you', 'think', 'tim')), (6, ('you', ""should've"", 'said')), (6, ('tim', 'mcgraw', 'i')), (6, ('think', 'tim', 'mcgraw')), (6, ('song', 'is', 'the'))]"
Tim McGraw,0.3551912568306011,3.849726775956284,366,"[('think', 22), ('hope', 10), ('tim', 6), ('mcgraw', 6), ('blue', 5), ('night', 5), ('little', 4), ('back', 4), ('long', 3), ('favorite', 3)]","[(18, ('you', 'think')), (10, ('i', 'hope')), (9, ('when', 'you')), (9, ('hope', 'you')), (7, ('think', 'of')), (6, ('tim', 'mcgraw')), (6, ('think', 'tim')), (6, ('mcgraw', 'i')), (5, ('on', 'your')), (4, ('of', 'me'))]","[(9, ('when', 'you', 'think')), (9, ('i', 'hope', 'you')), (9, ('hope', 'you', 'think')), (6, ('you', 'think', 'tim')), (6, ('tim', 'mcgraw', 'i')), (6, ('think', 'tim', 'mcgraw')), (6, ('mcgraw', 'i', 'hope')), (4, ('think', 'of', 'me')), (3, ('your', 'chest', 'and')), (3, ('you', 'think', 'that'))]"
Picture to Burn,0.41379310344827586,4.244827586206896,290,"[(""you're"", 8), ('burn', 6), (""i'm"", 5), ('really', 5), ('bad', 5), ('time', 5), ('just', 5), ('hate', 4), ('stupid', 4), ('old', 4)]","[(4, (""you're"", 'a')), (4, ('you', 'never')), (4, (""who's"", 'really')), (4, ('watch', 'me')), (4, ('wasted', 'time')), (4, ('truck', 'you')), (4, ('to', 'burn')), (4, ('that', 'stupid')), (4, ('stupid', 'old')), (4, ('strike', 'a'))]","[(4, (""you're"", 'a', 'redneck')), (4, ('you', 'never', 'let')), (4, (""who's"", 'really', 'bad')), (4, ('watch', 'me', 'strike')), (4, ('truck', 'you', 'never')), (4, ('that', 'stupid', 'old')), (4, ('stupid', 'old', 'pickup')), (4, ('strike', 'a', 'match')), (4, ('so', 'watch', 'me')), (4, ('redneck', 'heartbreak', ""who's""))]"
Teardrops On My Guitar,0.4895833333333333,3.7916666666666665,288,"[(""he's"", 12), ('drew', 4), ('me,', 4), ('wishing', 4), ('know', 4), ('see', 3), (""she's"", 3), ('got', 3), (""'cause"", 3), ('reason', 3)]","[(7, (""he's"", 'the')), (4, ('that', 'i')), (3, ('why', 'i')), (3, ('the', 'teardrops')), (3, ('the', 'song')), (3, ('the', 'reason')), (3, ('the', 'only')), (3, ('the', 'car')), (3, ('teardrops', 'on')), (3, ('song', 'in'))]","[(3, ('why', 'i', 'do')), (3, ('the', 'teardrops', 'on')), (3, ('the', 'song', 'in')), (3, ('the', 'reason', 'for')), (3, ('the', 'car', 'i')), (3, ('teardrops', 'on', 'my')), (3, ('song', 'in', 'the')), (3, ('singing', ""don't"", 'know')), (3, ('reason', 'for', 'the')), (3, ('on', 'my', 'guitar'))]"
A Place In This World,0.3948497854077253,3.587982832618026,233,"[(""i'm"", 16), ('oh,', 12), ('just', 9), (""i'll"", 6), ('girl', 6), ('trying', 5), (""that's"", 5), ('know', 4), ('alone,', 4), ('own', 4)]","[(8, ('just', 'a')), (8, (""i'm"", 'just')), (7, ('oh', ""i'm"")), (7, ('a', 'girl')), (6, ('on', 'my')), (6, (""i'll"", 'be')), (5, ('trying', 'to')), (4, (""that's"", 'all')), (4, ('own', 'and')), (4, ('my', 'own'))]","[(7, ('just', 'a', 'girl')), (7, (""i'm"", 'just', 'a')), (6, ('oh', ""i'm"", 'just')), (4, (""that's"", 'all', 'i')), (4, ('own', 'and', ""that's"")), (4, ('on', 'my', 'own')), (4, ('my', 'own', 'and')), (4, (""i'm"", 'alone', 'on')), (4, ('and', ""that's"", 'all')), (4, ('alone', 'on', 'my'))]"
Cold As You,0.46530612244897956,3.8816326530612244,245,"[(""i'm"", 4), ('oh,', 4), ('away', 4), ('shame', 3), ('rainy', 3), ('ending', 3), ('given', 3), ('perfect', 3), ('day', 3), (""sittin'"", 3)]","[(6, ('what', 'a')), (3, ('to', 'a')), (3, ('through', ""i've"")), (3, (""thinkin'"", 'it')), (3, ('that', ""i'm"")), (3, (""sittin'"", 'here')), (3, ('shame', 'what')), (3, ('rainy', 'ending')), (3, ('perfect', 'day')), (3, ('oh', 'what'))]","[(3, ('what', 'a', 'shame')), (3, ('what', 'a', 'rainy')), (3, ('to', 'a', 'perfect')), (3, ('through', ""i've"", 'never')), (3, (""thinkin'"", 'it', 'through')), (3, ('that', ""i'm"", ""sittin'"")), (3, (""sittin'"", 'here', ""thinkin'"")), (3, ('shame', 'what', 'a')), (3, ('rainy', 'ending', 'given')), (3, ('oh', 'what', 'a'))]"
The Outside,0.4345991561181435,3.6160337552742616,237,"[(""i've"", 7), ('see', 4), ('try', 3), ('better?', 3), (""let's"", 3), ('you,', 3), (""ain't"", 3), ('best', 3), ('view', 3), ('looking', 3)]","[(6, ('the', 'outside')), (6, ('on', 'the')), (6, ('oh', 'oh')), (4, ('to', 'be')), (4, ('see', 'you')), (3, ('you', 'this')), (3, ('view', 'on')), (3, ('try', 'to')), (3, ('this', ""ain't"")), (3, ('the', 'best'))]","[(6, ('on', 'the', 'outside')), (5, ('oh', 'oh', 'oh')), (3, ('you', 'this', ""ain't"")), (3, ('view', 'on', 'the')), (3, ('try', 'to', 'be')), (3, ('to', 'be', 'better')), (3, ('this', ""ain't"", 'the')), (3, ('the', 'outside', 'looking')), (3, ('the', 'best', 'view')), (3, ('still', 'see', 'you'))]"
Tied Together With a Smile,0.4065040650406504,4.138211382113822,246,"[(""you're"", 16), ('tied', 4), ('smile', 4), ('coming', 4), (""it's"", 4), (""'cause"", 3), ('hold', 3), ('on,', 3), ('baby;', 3), ('losing', 3)]","[(6, ('that', 'you')), (5, ('with', 'a')), (5, ('a', 'smile')), (4, (""you're"", 'tied')), (4, (""you're"", 'coming')), (4, ('together', 'with')), (4, ('tied', 'together')), (4, ('smile', 'but')), (4, ('coming', 'undone')), (4, ('but', ""you're""))]","[(5, ('with', 'a', 'smile')), (4, (""you're"", 'tied', 'together')), (4, (""you're"", 'coming', 'undone')), (4, ('together', 'with', 'a')), (4, ('tied', 'together', 'with')), (4, ('smile', 'but', ""you're"")), (4, ('but', ""you're"", 'coming')), (4, ('a', 'smile', 'but')), (3, (""you're"", 'losing', 'it')), (3, (""you're"", 'jumping', 'into'))]"
Stay Beautiful,0.49063670411985016,4.284644194756554,267,"[('beautiful', 8), ('oh,', 8), (""you're"", 6), (""don't"", 5), ('stay', 5), ('know?', 4), ('beautiful,', 4), ('na,', 4), ('little', 3), ('piece,', 3)]","[(6, ('oh', 'oh')), (5, ('stay', 'beautiful')), (5, ('beautiful', 'beautiful')), (4, ('oh', 'but')), (4, ('na', 'na')), (4, ('it', ""don't"")), (4, ('if', 'it')), (4, ('but', 'if')), (3, ('your', 'love')), (3, (""you've"", 'looked'))]","[(5, ('oh', 'oh', 'oh')), (4, ('oh', 'but', 'if')), (4, ('if', 'it', ""don't"")), (4, ('but', 'if', 'it')), (4, ('beautiful', 'beautiful', 'beautiful')), (3, ('your', 'love', 'leads')), (3, (""you've"", 'looked', 'for')), (3, (""you're"", 'really', 'gonna')), (3, (""you're"", 'beautiful', 'every')), (3, ('you', 'find', 'everything'))]"
Should've Said No,0.3457142857142857,4.142857142857143,350,"[(""should've"", 18), ('back', 10), ('said,', 8), ('""no""', 6), (""shouldn't"", 6), ('no,', 5), ('gone', 4), ('baby,', 4), ('say', 3), ('home', 3)]","[(15, ('you', ""should've"")), (6, ('to', 'me')), (6, (""shouldn't"", 'be')), (6, (""should've"", 'said')), (6, ('said', 'no')), (6, ('get', 'back')), (6, ('back', 'to')), (5, ('no', 'no')), (5, ('and', 'you')), (4, ('no', 'you'))]","[(6, ('you', ""should've"", 'said')), (6, (""should've"", 'said', 'no')), (6, ('get', 'back', 'to')), (6, ('back', 'to', 'me')), (4, ('no', 'you', ""should've"")), (4, ('no', 'no', 'no')), (3, ('your', 'mind', 'i')), (3, ('you', ""shouldn't"", 'be')), (3, ('you', ""should've"", 'thought')), (3, ('you', ""should've"", 'known'))]"
